student_id,item_DSS_PRE_Q1,item_DSS_PRE_Q2,item_DSS_PRE_Q3,item_DSS_PRE_Q4,item_DSS_PRE_Q5,item_DSS_PRE_Q6,item_DSS_PRE_Q7,item_DSS_PRE_Q8,item_DSS_PRE_Q9,item_GHSQ_PE_PRE_Q1,item_GHSQ_PE_PRE_Q2,item_GHSQ_PE_PRE_Q3,item_GHSQ_PE_PRE_Q4,item_GHSQ_PE_PRE_Q5,item_GHSQ_PE_PRE_Q6,item_GHSQ_PE_PRE_Q7,item_GHSQ_PE_PRE_Q8,item_GHSQ_PE_PRE_Q9,item_GHSQ_PE_PRE_Q10,item_THERMO_PRE_Black,item_THERMO_PRE_White,item_DSS_POST_Q1,item_DSS_POST_Q2,item_DSS_POST_Q3,item_DSS_POST_Q4,item_DSS_POST_Q5,item_DSS_POST_Q6,item_DSS_POST_Q7,item_DSS_POST_Q8,item_DSS_POST_Q9,item_GHSQ_PE_POST_Q1,item_GHSQ_PE_POST_Q2,item_GHSQ_PE_POST_Q3,item_GHSQ_PE_POST_Q4,item_GHSQ_PE_POST_Q5,item_GHSQ_PE_POST_Q6,item_GHSQ_PE_POST_Q7,item_GHSQ_PE_POST_Q8,item_GHSQ_PE_POST_Q9,item_GHSQ_PE_POST_Q10,item_THERMO_POST_Black,item_THERMO_POST_White
50,2,1,1,1,1,2,4,2,2,6,7,5,2,6,3,2,1,1,3,75,80,1,1,1,1,1,2,3,1,2,6,7,6,2,7,3,2,1,1,3,85,80
51,1,1,1,1,1,2,3,1,2,6,7,5,2,7,3,2,1,1,4,75,80,1,1,1,1,1,2,2,1,2,6,7,5,2,7,3,2,1,1,4,85,80
55,1,1,1,1,1,2,3,1,2,6,5,3,2,7,3,2,1,1,4,70,75,1,1,1,1,1,2,3,1,2,6,5,3,2,7,3,2,1,1,4,80,75
58,2,2,1,1,1,3,3,1,2,1,6,5,4,7,3,2,1,1,4,65,70,1,1,1,1,1,2,2,1,2,1,7,6,5,7,4,3,1,1,5,80,70
59,2,1,2,1,1,2,5,1,3,6,7,5,3,5,4,3,1,2,4,75,80,1,1,1,1,1,1,2,1,1,6,7,5,3,6,4,3,1,1,4,85,80
62,2,1,1,1,1,3,3,2,2,4,6,4,2,5,3,3,1,1,4,75,80,1,1,1,1,1,3,2,1,1,5,7,5,3,6,4,3,1,1,5,85,80
65,2,1,1,1,2,3,3,1,2,1,6,5,4,6,2,3,1,1,3,75,80,1,1,1,1,1,2,2,1,2,1,7,6,4,7,3,3,1,1,4,85,80
69,2,2,5,1,1,3,3,2,3,2,4,5,2,4,2,4,1,1,3,75,80,1,1,1,1,1,3,2,1,2,2,5,6,2,5,3,5,1,1,4,85,80
71,2,1,1,1,1,3,3,1,3,1,6,4,2,5,2,3,1,1,3,65,75,1,1,1,1,1,3,3,1,3,1,7,5,2,6,2,3,1,1,4,80,75
76,1,1,1,1,1,3,3,1,2,1,6,4,3,4,3,2,1,1,4,65,75,1,1,1,1,1,2,3,1,2,1,7,4,2,5,3,2,1,1,5,80,75
78,2,1,1,1,1,2,4,2,2,1,6,5,3,4,2,4,1,1,4,65,70,2,1,1,1,1,2,4,2,2,1,6,6,3,5,2,4,1,1,4,75,70
80,2,1,1,1,1,3,3,1,3,4,6,6,3,5,2,3,1,1,4,75,80,1,1,1,1,1,3,2,1,2,4,6,6,3,6,3,3,1,1,4,85,80
81,2,1,1,1,1,3,4,1,3,1,6,3,2,7,4,3,1,1,4,70,75,1,1,1,1,1,2,3,1,2,1,6,4,3,7,4,3,1,1,4,80,75
84,2,1,1,1,1,2,4,2,3,1,6,4,2,7,3,2,1,1,3,75,80,1,1,1,1,1,2,3,2,2,1,6,5,2,7,3,2,1,1,4,85,80
85,2,1,1,1,1,3,4,1,2,1,6,2,1,4,3,3,1,4,3,75,80,1,1,1,1,1,2,3,1,2,1,7,3,1,6,4,3,1,3,5,85,80
86,2,1,1,1,1,2,3,1,2,1,6,5,3,6,2,4,1,1,4,75,75,1,1,1,1,1,1,2,1,1,1,6,6,4,7,2,4,1,1,4,80,75
87,2,1,2,1,1,2,3,1,2,1,6,5,2,4,3,2,1,2,3,55,65,1,1,1,1,1,2,3,2,2,1,6,6,2,5,4,3,1,1,4,75,65
89,2,1,1,1,1,3,3,1,2,6,5,4,2,5,2,3,1,1,4,75,80,1,1,1,1,1,2,2,1,2,6,5,5,2,6,2,3,1,1,4,85,80
91,2,1,1,1,1,2,3,1,3,1,6,5,3,6,2,2,1,1,4,70,75,1,1,1,1,1,2,3,1,2,1,6,6,3,7,3,2,1,1,5,78,75
92,2,1,1,1,1,2,2,2,2,4,6,5,3,4,2,3,1,1,4,75,80,1,1,1,1,1,2,2,1,2,5,6,6,4,5,2,4,1,1,4,85,75
93,2,1,1,1,1,2,3,2,2,1,6,5,3,4,2,3,1,1,4,75,80,1,1,1,1,1,2,2,1,2,1,7,6,3,5,3,3,1,1,5,85,80
99,2,2,1,1,1,3,4,4,3,1,6,3,2,4,3,3,1,1,3,60,75,1,1,1,1,1,2,3,3,3,1,7,4,2,6,4,4,1,1,4,80,70
100,2,1,1,1,1,2,2,2,2,1,6,4,3,6,2,2,1,1,4,75,80,1,1,1,1,1,2,2,1,2,1,7,5,4,7,3,2,1,1,5,85,80
103,2,1,1,1,2,2,4,2,3,1,6,5,2,4,3,2,1,1,4,65,70,1,1,1,1,1,2,3,1,2,1,7,6,3,6,4,2,1,1,5,80,70
105,2,1,1,1,1,2,3,3,2,1,6,5,2,4,2,3,1,2,3,75,80,1,1,1,1,1,2,3,2,2,1,7,6,3,5,3,4,1,1,4,85,80
110,2,1,1,1,1,2,3,1,2,1,6,5,3,6,4,3,1,1,4,75,80,1,1,1,1,1,1,2,1,2,1,6,5,4,7,5,3,1,1,5,85,80
112,2,1,1,1,1,3,2,2,1,1,6,5,3,7,2,2,1,1,3,75,80,1,1,1,1,1,2,1,1,1,1,6,5,3,7,2,2,1,1,4,85,80
113,2,2,1,1,1,3,4,2,2,1,6,6,4,5,3,4,1,2,3,75,80,1,1,1,1,1,2,3,1,2,1,6,7,4,6,3,4,1,1,4,85,80
116,1,1,1,1,1,2,3,3,2,1,6,5,2,4,3,2,1,3,4,65,75,1,1,1,1,1,2,2,1,2,1,7,6,2,6,4,2,1,2,5,75,75
117,2,1,1,1,2,2,1,1,2,1,6,3,4,5,3,2,1,1,4,80,75,1,1,1,1,1,2,1,1,2,1,7,4,5,6,4,2,1,1,5,85,75
118,2,1,1,1,1,2,2,1,2,1,6,5,3,7,2,3,1,1,3,85,90,1,1,1,1,1,2,2,1,2,1,7,6,3,7,2,3,1,1,3,90,90
119,2,1,1,1,1,2,3,1,2,6,7,6,3,4,2,3,1,1,4,80,85,1,1,1,1,1,2,3,1,1,6,7,7,3,6,2,3,1,1,4,90,85
120,2,1,1,1,1,3,4,1,2,1,6,4,2,7,3,2,1,1,4,75,70,1,1,1,1,1,2,3,1,2,1,7,5,2,7,4,2,1,1,5,85,70
121,2,2,1,1,1,3,4,1,2,1,5,6,3,7,3,2,1,1,4,75,80,1,1,1,1,1,2,3,1,1,1,5,7,3,7,3,2,1,1,4,85,75
122,2,1,1,1,1,3,4,1,3,2,6,4,2,5,3,3,1,1,4,65,75,1,1,1,1,1,3,3,1,3,2,7,5,2,6,3,3,1,1,4,75,75
123,1,1,1,1,1,2,4,1,3,4,6,3,2,5,3,2,1,1,4,65,70,1,1,1,1,1,2,3,1,2,4,6,4,2,6,3,3,1,1,4,75,70
124,2,1,1,1,1,1,4,1,3,3,6,4,2,7,3,3,1,2,4,65,70,1,1,1,1,1,1,3,1,2,4,6,5,3,7,3,4,1,1,5,80,70
127,1,1,1,1,1,2,4,3,2,1,4,2,3,4,3,2,1,5,3,75,80,1,1,1,1,1,2,3,2,2,1,5,3,3,6,4,4,1,3,4,85,80
129,2,1,1,1,2,3,4,2,3,4,6,5,2,3,3,2,1,4,3,65,75,1,1,1,1,1,3,3,2,2,5,7,6,3,5,4,3,1,3,4,80,75
130,2,2,1,1,1,2,4,1,3,5,6,2,1,7,3,2,1,1,4,70,75,1,1,1,1,1,2,3,1,3,6,7,3,1,7,4,2,1,1,5,80,75
133,2,1,1,1,1,3,4,1,2,4,6,3,2,7,3,3,1,1,4,75,80,1,1,1,1,1,2,2,1,2,4,6,4,2,7,4,3,1,1,5,85,80
134,1,1,1,1,1,2,4,3,3,5,6,2,1,6,4,1,1,3,4,65,70,1,1,1,1,1,2,4,2,2,6,7,3,1,7,4,1,1,2,5,75,70
138,2,2,1,1,1,3,4,3,2,2,6,4,2,3,2,3,1,1,3,75,80,1,1,1,1,1,2,4,2,2,4,7,5,2,5,3,3,1,1,4,85,80
143,1,1,1,1,1,2,4,2,3,4,6,5,2,6,3,3,1,4,4,65,75,2,2,1,1,2,3,3,2,3,5,7,6,2,7,4,3,1,3,5,78,75
144,2,1,1,1,1,2,3,1,2,1,6,6,3,5,3,2,1,1,4,75,80,1,1,1,1,1,2,2,1,2,1,7,7,3,7,4,3,1,1,4,85,80
145,2,2,1,1,1,3,4,3,2,1,6,3,2,4,3,2,1,4,4,70,75,1,1,1,1,1,2,4,1,1,1,6,4,2,5,3,3,1,3,5,78,75
147,1,1,1,1,1,2,3,2,2,1,6,4,3,5,2,3,1,2,4,65,80,1,1,1,1,1,2,2,2,2,1,6,5,3,7,2,3,1,2,4,75,80
148,2,2,1,1,1,3,3,2,3,4,6,2,3,5,3,2,1,1,4,75,80,1,1,1,1,1,2,3,1,2,4,6,3,3,6,3,2,1,1,5,85,80
150,2,1,1,1,1,2,4,1,2,1,6,4,2,5,3,2,1,3,4,75,75,1,1,1,1,1,2,3,1,2,1,7,5,2,6,3,2,1,1,4,85,75
152,2,1,1,1,1,2,3,1,2,4,6,4,2,7,3,2,1,1,3,75,80,1,1,1,1,1,2,2,1,2,5,6,5,2,7,3,2,1,1,3,85,80
153,2,1,1,1,1,2,3,2,2,4,6,5,2,3,3,2,1,1,4,75,80,1,1,1,1,1,2,3,1,2,4,6,6,2,5,3,2,1,1,4,80,80
155,2,1,1,1,1,2,2,1,2,5,6,5,3,7,2,3,1,1,4,75,80,1,1,1,1,1,1,3,1,2,5,6,6,3,7,3,3,1,1,4,85,80
156,2,1,1,1,1,2,3,2,2,4,6,5,2,3,3,2,1,1,4,75,80,1,1,1,1,1,2,2,1,2,5,6,6,2,5,4,2,1,1,4,85,80
158,2,2,1,1,1,3,4,1,3,2,6,4,2,6,3,4,1,1,3,75,80,1,1,1,1,1,2,3,1,2,2,6,3,2,7,4,4,1,1,3,85,80
162,2,1,1,1,1,3,4,2,3,1,6,4,2,4,3,3,1,2,4,75,80,1,1,1,1,1,3,3,2,2,1,7,5,2,6,3,4,1,1,5,85,80
169,2,1,1,1,1,3,4,2,2,6,7,4,2,6,3,2,1,2,4,65,75,1,1,1,1,1,2,3,2,2,7,7,5,2,7,3,2,1,1,5,78,75
172,2,1,1,1,1,3,4,3,2,6,5,2,1,4,3,2,1,4,3,70,75,1,1,1,1,1,2,3,2,2,6,6,3,1,5,4,2,1,3,4,80,75
177,1,1,1,1,1,3,4,2,3,6,7,4,2,4,3,3,1,1,4,75,80,1,1,1,1,1,2,3,2,2,6,7,5,2,5,4,3,1,1,4,85,80
180,1,1,1,1,1,2,3,1,2,6,7,4,3,7,3,2,1,1,3,85,80,1,1,1,1,1,2,3,1,2,6,7,5,4,7,3,2,1,1,4,90,80
182,1,1,1,1,1,2,3,1,2,4,6,3,2,5,4,3,1,2,4,75,80,1,1,1,1,1,2,3,1,2,5,6,4,2,6,4,3,1,1,5,85,80
186,1,1,1,1,1,2,3,1,2,6,5,5,2,7,4,3,1,1,4,85,85,1,1,1,1,1,2,2,1,2,7,6,6,2,7,4,4,1,1,5,90,85
187,1,1,1,1,1,2,3,1,2,1,7,4,2,6,2,3,1,1,4,75,70,1,1,1,1,1,2,3,1,2,1,7,5,2,7,2,3,1,1,5,85,70
189,1,1,1,1,1,2,4,1,3,6,7,4,2,5,3,1,1,2,4,65,70,1,1,1,1,1,2,3,1,2,6,7,5,2,6,3,1,1,1,4,75,70
190,2,1,1,1,1,3,4,3,3,1,5,4,2,6,3,2,1,1,4,65,80,1,1,1,1,1,2,3,2,2,3,6,5,2,7,3,2,1,1,5,85,80
192,2,1,1,1,1,2,4,3,3,1,6,4,2,5,3,2,1,1,4,70,75,1,1,1,1,1,2,3,2,2,1,6,5,2,6,3,2,1,1,4,80,75
194,2,2,1,1,1,2,4,3,3,1,6,4,2,6,3,3,1,2,3,65,75,1,1,1,1,1,2,3,2,3,1,6,5,2,7,4,3,1,2,3,80,75
196,2,1,1,1,1,2,3,1,2,1,6,4,2,5,3,3,1,1,4,75,80,1,1,1,1,1,2,3,1,2,1,6,5,2,6,4,3,1,1,4,85,80
197,2,1,1,1,1,2,4,1,3,1,6,5,3,5,2,3,1,1,4,75,80,1,1,1,1,1,2,3,1,3,1,7,6,4,7,3,3,1,1,4,85,80
198,2,1,1,1,1,2,3,1,2,2,6,2,3,5,2,3,1,3,4,75,75,1,1,1,1,1,2,3,1,2,2,7,4,3,6,3,3,1,2,5,85,75
199,2,1,1,1,3,3,4,1,3,1,3,4,2,5,3,3,1,4,4,65,75,1,1,1,1,3,3,3,1,2,1,4,5,2,6,3,3,1,3,4,75,70
203,2,1,1,1,1,3,3,3,3,4,5,4,2,4,2,3,1,3,3,75,80,1,1,1,1,1,3,3,2,2,5,6,5,2,5,2,4,1,2,4,85,80
204,2,1,1,1,1,2,2,1,2,1,6,5,2,7,3,2,1,1,4,75,80,1,1,1,1,1,2,1,1,2,1,6,5,2,7,3,2,1,1,4,85,75
209,2,1,1,1,1,2,3,1,2,6,7,3,4,7,3,2,1,1,5,75,78,1,1,1,1,1,2,3,1,2,6,7,4,4,7,3,2,1,1,5,80,78
213,1,1,1,1,1,2,4,3,3,1,6,4,2,7,3,3,1,2,5,75,80,1,1,1,1,1,2,3,2,2,1,7,5,2,7,4,3,1,1,6,85,75
214,1,1,1,1,1,2,5,1,3,4,5,6,2,7,3,3,1,2,4,55,70,1,1,1,1,1,2,4,1,2,5,6,6,2,7,4,3,1,1,5,70,70
215,2,1,1,1,1,2,3,1,2,1,6,4,2,7,3,3,1,1,4,70,85,1,1,1,1,1,2,3,1,2,1,7,5,2,7,3,3,1,1,5,85,80
219,1,1,1,1,1,2,3,1,3,4,5,2,1,6,3,2,1,3,4,65,70,1,1,1,1,1,2,3,1,2,5,6,3,2,7,4,3,1,2,5,75,70
223,2,1,1,1,1,2,3,2,2,1,6,4,2,5,3,2,1,1,4,65,70,1,1,1,1,1,2,2,1,2,1,7,5,2,6,3,3,1,1,5,75,70
226,2,1,1,1,1,3,3,2,3,4,6,2,2,5,3,2,1,1,3,75,80,1,1,1,1,1,2,3,2,2,5,7,3,2,6,3,2,1,1,4,85,80
227,2,1,1,1,1,3,4,3,3,4,6,3,2,4,2,1,1,3,4,65,75,1,1,1,1,1,2,3,2,2,5,6,4,2,5,3,1,1,2,4,75,75
230,2,1,1,1,1,2,4,3,2,1,5,4,2,7,3,4,1,1,4,65,75,1,1,1,1,1,3,3,2,2,1,5,5,2,7,3,4,1,1,4,75,75
231,2,1,1,1,1,2,1,1,2,6,5,4,2,5,3,3,1,1,4,60,70,1,1,1,1,1,2,1,1,2,6,6,5,2,7,3,3,1,1,4,75,70
235,2,1,1,1,3,3,4,3,2,1,6,3,2,4,3,2,1,1,4,65,75,1,1,1,1,2,2,3,2,2,1,6,4,2,6,3,2,1,1,5,75,75
237,2,2,4,1,1,3,4,1,3,1,6,4,2,6,3,3,1,1,4,70,75,1,1,1,1,1,3,3,1,3,1,6,5,2,7,4,3,1,1,5,80,75
238,1,1,1,1,1,3,4,2,3,4,4,2,1,4,2,1,1,3,3,75,80,1,1,1,1,1,2,3,2,3,4,5,2,1,5,2,1,1,3,4,85,80
239,2,2,1,1,1,3,3,2,2,1,6,5,2,5,3,4,1,1,3,75,80,1,1,1,1,1,2,2,1,2,1,6,6,2,7,3,4,1,1,3,85,80
241,2,1,1,1,1,1,3,1,2,1,6,5,3,7,4,2,1,1,4,75,80,1,1,1,1,1,1,2,1,1,1,7,6,3,7,5,2,1,1,4,85,75
244,2,1,1,1,1,2,3,1,2,1,6,4,2,5,3,3,1,1,4,75,80,1,1,1,1,1,2,2,1,1,1,7,5,3,6,4,3,1,1,5,85,80
245,2,1,1,1,3,3,3,3,2,4,6,5,2,4,3,2,1,3,3,75,75,1,1,1,1,3,3,3,2,2,5,6,4,2,5,3,2,1,2,3,85,75
246,2,1,1,1,1,2,2,1,3,1,6,5,2,4,2,3,1,1,3,65,75,1,1,1,1,1,2,2,1,3,1,7,4,2,6,3,3,1,1,3,75,70
247,2,1,1,1,1,2,4,1,3,1,6,5,2,4,3,2,1,2,4,50,75,1,1,1,1,1,2,3,1,2,1,7,6,2,6,4,2,1,1,5,70,75
248,2,1,1,1,1,2,4,2,1,4,6,3,2,6,3,3,1,4,4,65,75,1,1,1,1,1,2,3,2,1,5,6,4,2,7,3,3,1,2,5,75,70
249,2,1,2,1,3,2,4,1,3,1,6,5,2,6,3,3,1,1,4,75,80,1,1,1,1,2,2,3,1,2,1,6,5,2,7,4,3,1,1,5,85,80
253,2,1,1,1,1,2,2,1,2,1,6,5,3,5,3,2,1,1,3,75,80,1,1,1,1,1,1,1,1,1,1,7,4,4,6,4,2,1,1,4,85,80
254,1,1,1,1,2,2,3,1,2,6,7,6,4,5,3,3,1,1,4,75,80,1,1,1,1,1,2,3,1,2,6,7,6,4,7,3,3,1,1,4,85,80
255,2,1,1,1,1,2,3,1,2,6,7,5,2,6,2,3,1,1,4,75,80,1,1,1,1,1,2,2,1,2,7,7,6,2,7,3,4,1,1,5,85,80
256,2,1,1,1,1,2,3,2,2,1,6,5,2,4,2,3,1,1,3,65,75,1,1,1,1,1,1,2,1,1,1,6,6,2,5,2,3,1,1,4,80,75
257,1,1,1,1,1,2,3,1,2,6,5,2,3,6,3,2,1,1,4,75,78,1,1,1,1,1,2,3,1,2,6,6,3,3,7,4,2,1,1,4,85,78
259,2,1,1,1,1,2,4,2,2,4,6,4,2,3,3,2,1,1,4,75,80,1,1,1,1,1,2,3,1,2,5,7,5,2,6,3,3,1,1,4,85,80
260,1,1,1,1,1,2,4,1,3,5,6,5,2,6,3,4,1,1,3,75,80,1,1,1,1,1,2,4,2,3,6,7,6,2,7,4,4,1,1,4,85,80
261,2,1,1,1,1,2,4,3,2,6,7,4,2,5,1,3,1,1,4,75,80,1,1,1,1,1,2,4,2,2,6,7,5,2,6,1,3,1,1,4,85,75
262,2,1,1,1,1,2,3,1,2,1,3,6,3,5,2,4,1,1,3,80,85,1,1,1,1,1,2,2,1,1,1,4,6,3,6,3,4,1,1,4,90,85
263,2,1,1,1,1,1,3,1,2,4,6,5,2,6,3,3,1,1,4,75,80,1,1,1,1,1,1,2,1,2,5,6,6,2,7,4,4,1,1,5,85,80
264,2,2,1,1,2,3,2,1,2,4,6,5,2,6,3,2,1,1,4,75,80,1,1,1,1,1,2,2,1,1,5,7,6,2,7,3,2,1,1,5,85,80
265,1,1,1,1,1,2,3,2,3,4,6,5,2,4,2,3,1,3,4,75,80,1,1,1,1,1,2,3,2,2,4,6,6,2,5,3,3,1,2,4,85,75
267,2,1,1,1,1,2,2,2,2,4,6,5,2,4,3,1,1,2,3,60,75,1,1,1,1,1,2,2,1,2,5,6,6,3,5,3,2,1,1,4,75,75
269,2,1,1,1,1,2,3,1,2,4,7,6,3,5,2,2,1,1,4,75,78,1,1,1,1,1,2,2,1,1,4,7,6,3,7,3,2,1,1,4,85,78
273,2,1,1,1,1,2,4,1,3,4,6,5,3,6,3,2,1,1,4,75,78,1,1,1,1,1,2,3,1,2,5,6,6,3,7,4,2,1,1,5,85,78
278,2,1,1,1,1,2,1,1,2,5,6,5,3,6,3,3,1,1,4,75,80,1,1,1,1,1,1,1,1,1,5,6,6,3,7,4,3,1,1,4,85,80
279,2,1,1,1,1,2,3,1,2,1,6,4,2,7,3,2,1,1,3,75,80,1,1,1,1,1,2,2,1,2,1,7,3,2,7,3,2,1,1,4,85,75
282,1,1,1,1,1,2,3,1,2,6,7,6,4,6,3,3,1,1,4,80,85,1,1,1,1,1,2,2,1,1,6,7,6,4,7,3,3,1,1,4,90,85
287,1,1,1,1,1,2,2,1,2,1,6,5,2,5,3,2,1,1,3,75,80,1,1,1,1,1,2,2,1,2,1,7,6,2,6,3,2,1,1,4,85,80
288,1,1,1,1,1,3,4,2,3,1,4,2,3,6,3,1,1,3,4,60,70,1,1,1,1,1,2,3,1,2,1,5,3,4,7,3,2,1,2,5,75,70
291,2,1,1,1,1,2,2,2,2,1,6,3,4,6,4,2,1,1,4,85,80,1,1,1,1,1,2,2,1,2,1,6,3,4,7,5,2,1,1,5,90,80
294,2,1,1,1,1,2,4,1,2,5,6,4,3,7,3,4,1,1,4,75,78,1,1,1,1,1,2,3,1,2,6,7,5,4,7,4,5,1,1,4,85,78
295,1,1,1,1,1,2,4,3,3,4,5,1,3,3,2,2,1,5,3,70,75,1,1,1,1,1,2,4,2,3,5,6,1,4,4,3,2,1,4,3,85,75
296,2,1,1,1,1,2,3,1,2,6,7,4,2,6,3,3,1,1,4,75,80,1,1,1,1,1,2,2,1,2,6,7,5,2,7,3,3,1,1,4,85,80
297,2,2,1,1,1,3,4,2,3,4,6,3,2,5,3,4,1,4,3,65,70,1,1,1,1,1,2,4,1,3,5,6,4,2,6,3,4,1,4,3,75,70
301,2,1,1,1,1,3,3,2,2,6,7,5,2,5,3,2,1,1,4,75,80,1,1,1,1,1,2,2,1,2,7,7,6,2,7,4,3,1,1,5,85,80
302,2,1,1,1,1,2,3,2,2,1,6,4,3,4,2,3,1,1,4,75,80,1,1,1,1,1,2,2,1,2,1,6,5,3,6,3,4,1,1,4,82,80
305,2,1,1,1,1,3,4,2,2,1,4,2,3,6,3,3,1,3,4,65,75,1,1,1,1,1,2,3,1,1,1,5,3,4,7,4,3,1,2,5,75,75
313,1,1,1,1,1,2,4,4,2,1,6,4,2,7,3,3,1,2,5,75,80,1,1,1,1,1,2,3,2,2,1,7,4,2,7,4,3,1,1,6,85,75
314,1,1,1,1,1,2,4,2,3,1,6,4,2,5,3,2,1,4,4,75,80,1,1,1,1,1,2,4,2,3,1,6,4,2,6,3,2,1,4,5,85,75
319,1,1,1,1,1,2,2,1,2,1,6,6,4,7,3,2,1,2,4,75,80,1,1,1,1,1,2,1,1,1,1,7,7,5,7,4,2,1,1,5,85,75
323,1,1,1,1,1,2,1,1,2,1,5,4,2,7,3,2,1,1,3,65,75,1,1,1,1,1,2,1,1,2,1,5,5,2,7,3,2,1,1,3,80,75
